"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0E550","2020-02-17 00:00:00","84.000","70.000","4.000","9.700","0.790","1015.400","","18.500","-99.000","-99.000","-99.000","20.400","","9.100",""
"C0AC70","2020-02-17 00:00:00","71.000","15.000","0.500","10.900","0.650","1018.400","","3.500","-99.000","-99.000","-99.000","21.600","","9.900",""
"CM0130","2020-02-17 00:00:00","11.000","360.000","8.100","14.600","0.650","1020.300","","0.000","14.000","360.000","","25.600","","14.100",""
"C0W110","2020-02-17 00:00:00","16.000","-99.000","-99.000","9.400","0.600","1024.800","","12.500","-99.000","-99.000","-99.000","13.600","","8.800",""
"C0R670","2020-02-17 00:00:00","26.000","75.000","6.700","18.100","0.730","1017.900","","0.000","12.100","89.000","","27.400","","18.100",""
"C0S740","2020-02-17 00:00:00","289.000","48.000","2.300","12.600","0.960","990.800","","0.000","-99.000","-99.000","-99.000","21.600","","12.600",""
"C0U980","2020-02-17 00:00:00","573.000","321.000","5.100","5.400","1.000","959.700","","1.500","-99.000","-99.000","-99.000","18.300","","5.400",""
"C0V250","2020-02-17 00:00:00","298.000","163.000","0.300","14.700","0.880","985.000","","0.000","-99.000","-99.000","-99.000","29.700","","14.500",""
"C0AH70","2020-02-17 00:00:00","34.000","46.000","1.000","11.300","0.570","1023.800","","5.500","-99.000","-99.000","-99.000","22.500","","10.500",""
"C0M760","2020-02-17 00:00:00","40.000","357.000","3.100","12.100","0.760","1017.200","","9.500","-99.000","-99.000","-99.000","22.900","","12.100",""
"C0O950","2020-02-17 00:00:00","4.000","349.000","3.100","13.800","0.700","1019.900","","0.000","-99.000","-99.000","-99.000","25.600","","12.800",""
"C0F9A0","2020-02-17 00:00:00","425.000","291.000","0.900","10.500","0.900","971.400","","0.000","-99.000","-99.000","-99.000","22.700","","10.400",""
"C0A9F0","2020-02-17 00:00:00","35.000","103.000","1.100","11.100","0.660","1023.900","","4.500","-99.000","-99.000","-99.000","22.400","","10.400",""
"C0I460","2020-02-17 00:00:00","110.000","11.000","3.100","12.100","0.760","1008.900","","0.000","-99.000","-99.000","-99.000","23.900","","12.100",""
"C0W160","2020-02-17 00:00:00","49.000","46.000","15.100","10.200","0.740","1016.800","","12.500","-99.000","-99.000","-99.000","15.800","","9.800",""
"C0E420","2020-02-17 00:00:00","19.000","48.000","2.500","10.100","0.680","1021.300","","39.000","7.600","36.000","","19.500","","9.500",""
"C0R190","2020-02-17 00:00:00","32.000","6.000","1.100","17.100","0.940","1015.600","","1.500","-99.000","-99.000","-99.000","30.600","","17.000",""
"C0I010","2020-02-17 00:00:00","1562.000","244.000","1.300","11.500","0.980","851.100","","1.500","-99.000","-99.000","-99.000","18.900","","11.500",""
"C0F930","2020-02-17 00:00:00","100.000","40.000","1.700","10.300","0.720","1010.400","","4.000","-99.000","-99.000","-99.000","23.100","","9.900",""
"C0X180","2020-02-17 00:00:00","62.000","351.000","2.300","12.400","0.940","1013.300","","0.000","-99.000","-99.000","-99.000","27.100","","12.400",""
"C0ACA0","2020-02-17 00:00:00","25.000","0.000","0.200","10.900","0.640","1023.400","","20.500","-99.000","-99.000","-99.000","22.000","","9.600",""
"C0X260","2020-02-17 00:00:00","39.000","20.000","4.800","12.300","0.780","1017.200","","0.000","-99.000","-99.000","-99.000","24.000","","12.000",""
"C0K500","2020-02-17 00:00:00","12.000","17.000","6.300","11.600","0.740","1019.300","","1.000","-99.000","-99.000","-99.000","22.700","","11.400",""
"CM0010","2020-02-17 00:00:00","68.000","44.000","1.100","10.800","0.660","1019.700","","5.500","-99.000","-99.000","-99.000","20.800","","9.800",""
"C0O990","2020-02-17 00:00:00","18.000","358.000","2.000","13.000","0.870","1018.600","","0.000","-99.000","-99.000","-99.000","28.900","","12.900",""
"C0E430","2020-02-17 00:00:00","258.000","7.000","1.100","7.900","0.890","998.100","","18.500","-99.000","-99.000","-99.000","20.500","","7.900",""
"C0D390","2020-02-17 00:00:00","146.000","0.000","0.000","8.900","0.840","1007.300","","18.000","-99.000","-99.000","-99.000","21.200","","8.600",""
"C0T9F0","2020-02-17 00:00:00","251.000","11.000","0.400","11.500","0.950","994.900","","1.000","-99.000","-99.000","-99.000","22.000","","11.400",""
"C0R350","2020-02-17 00:00:00","35.000","53.000","6.600","18.300","0.870","1016.200","","0.500","11.900","55.000","","28.700","","18.300",""
"C0K550","2020-02-17 00:00:00","15.000","7.000","4.900","12.300","0.710","1020.300","","9.000","11.800","8.000","","23.200","","11.700",""
"C0C670","2020-02-17 00:00:00","250.000","35.000","2.300","7.900","0.800","996.900","","22.000","-99.000","-99.000","-99.000","21.600","","7.500",""
"C0A980","2020-02-17 00:00:00","11.000","336.000","1.500","10.800","0.700","1026.900","","29.000","-99.000","-99.000","-99.000","21.100","","10.000",""
"C0UA60","2020-02-17 00:00:00","566.000","7.000","4.000","7.300","0.930","957.300","","0.000","-99.000","-99.000","-99.000","19.000","","7.300",""
"C0V720","2020-02-17 00:00:00","15.000","15.000","0.500","17.800","0.720","1018.400","","1.500","-99.000","-99.000","-99.000","29.500","","17.600",""
"C0K420","2020-02-17 00:00:00","42.000","17.000","5.400","11.200","0.720","1016.600","","7.000","-99.000","-99.000","-99.000","23.400","","11.100",""
"C0D540","2020-02-17 00:00:00","227.000","54.000","1.900","7.800","0.920","999.700","","16.000","7.100","55.000","","20.800","","7.600",""
"C0E590","2020-02-17 00:00:00","40.000","45.000","2.400","9.800","0.780","1018.300","","16.500","-99.000","-99.000","-99.000","20.900","","9.500",""
"C0Z330","2020-02-17 00:00:00","488.000","345.000","1.500","11.300","0.990","968.600","","1.500","-99.000","-99.000","-99.000","19.800","","11.300",""
"C0R580","2020-02-17 00:00:00","10.000","343.000","3.000","16.000","0.860","1018.900","","1.000","-99.000","-99.000","-99.000","28.900","","16.000",""
"C0S810","2020-02-17 00:00:00","65.000","21.000","2.000","15.500","0.850","1018.100","","0.500","7.800","41.000","","26.000","","15.500",""
"C0V820","2020-02-17 00:00:00","441.000","190.000","1.100","15.200","0.990","971.000","","0.500","-99.000","-99.000","-99.000","28.100","","15.200",""
"C0K490","2020-02-17 00:00:00","91.000","346.000","0.600","12.500","0.780","1010.800","","1.500","-99.000","-99.000","-99.000","21.900","","12.200",""
"C0SA20","2020-02-17 00:00:00","857.000","12.000","2.700","10.100","1.000","924.600","","3.500","-99.000","-99.000","-99.000","23.300","","10.100",""
"CM0140","2020-02-17 00:00:00","26.000","67.000","2.300","14.900","0.830","1020.900","","2.500","-99.000","-99.000","-99.000","25.400","","14.900",""
